"text","text_en","cmp_code","eu_code"
"26-Sep-04",NA,NA,NA
"TRANSCRIPT OF THE PRIME MINISTER",NA,NA,NA
"THE HON JOHN HOWARD MP",NA,NA,NA
"ADDRESS AT THE COALITION CAMPAIGN LAUNCH",NA,NA,NA
"BRISBANE",NA,NA,NA
"E&OE",NA,NA,NA
"Deputy Prime Minister, my fellow Australians.",NA,NA,NA
"Eight and a half years ago it became my immense privilege and honour to become the Prime Minister of this wonderful country of ours.",NA,"601",NA
"And over the eight and a half years, I have shared the hopes and aspirations and the dreams and the achievements of my fellow Australians.",NA,"606",NA
"I have tried to feel the pain and the grief of those of my fellow Australians left saddened through the loss of loved ones in tragedies such as the murder of 35 people at Port Arthur and the terrible deaths of 88 fellow Australians during the Bali attack and other disasters.",NA,"606",NA
"I have tried to understand and feel for the plight of struggling farmers, year after year gripped by drought, an undeserved lot, and the pain of seeing their crops wither and their hopes denied.",NA,"703",NA
"I’ve shared the exaltation that so many of us feel with the success not only of our sportsmen and women but also our scientists and our actors and our businessmen and women, who do Australia proud around the world.",NA,"601",NA
"Every day has been a new experience for me, everyday has been a reminder to me of the great character and decency and special nature which is the Australian way.",NA,"601",NA
"Every day has reminded me of that unique blend of toughness and compassion which is in reality the real Australia.",NA,"601",NA
"Yes, we can be tough and direct and laconic and resilient.",NA,"601",NA
"But when need arises we can be warm and embracing and outpouring and compassionate and care for those that need assistance.",NA,"601",NA
"It has been a great experience, it has been a humbling experience.",NA,"000",NA
"It has been a journey to reinforce my values as an Australian.",NA,"601",NA
"It has been a journey in which I’ve been accompanied by some wonderful colleagues and may I particularly mention the contribution along that journey of the Deputy Prime Minister, my friend, the leader of the National Party John Anderson.",NA,"305",NA
"And may I also mention the wonderful contribution that the Deputy Leader of the Liberal Party and Treasurer for the last eight and a half years Peter Costello has made to that journey.",NA,"305",NA
"Without them and all of my other colleagues we would not have achieved what has been achieved over that last eight and a half years.",NA,"305",NA
"I’ve had the values of Australians reinforced over that time.",NA,"601",NA
"I’ve also learnt that they want certain things from their Government but there are some things they don’t want from their Government.",NA,"201",NA
"They want their Government to create a climate of stability and security and reassurance but they don’t want their Governments to tell them how to live their lives.",NA,"201",NA
"They don’t want a behavioural policeman as a Prime Minister.",NA,"201",NA
"They want a Prime Minister who understands them",NA,"305",NA
"and will let them get on with their lives",NA,"201",NA
"and will give them freedom and choice and opportunity.",NA,"201",NA
"Like all elections, the election on the 9th of October is about a choice.",NA,"202",NA
"It’s about who can better secure Australia’s future as a nation.",NA,"305",NA
"It’s about who can better secure the future of Australian families.",NA,"603",NA
"When I called the election I asked a series of questions and they are as relevant today as they were then.",NA,"305",NA
"I said who do you better trust to keep living standards high and the economy strong?",NA,"305",NA
"Who do you better trust to keep your interest rates low?",NA,"305",NA
"Who do you better trust to lead Australia in the fight against the peril of international terrorism?",NA,"305",NA
"Who do you better trust to keep the budget strong and in surplus so that we can better afford to spend more on health and education and defence.",NA,"305",NA
"They are the issues, they are the questions that the Australian people will ask",NA,"202",NA
"and the answers are emphatic.",NA,"305",NA
"The journey of the last eight and a half years has involved many difficult decisions.",NA,"305",NA
"We inherited a $96 billion government debt.",NA,"414",NA
"We have repaid $73 billion of that.",NA,"414",NA
"I hear Mr Crean and Mr Latham saying that Labor Governments will stay in surplus.",NA,"414",NA
"As Peter Costello frequently says, never listen to what Labor says, remember what Labor did.",NA,"305",NA
"The last five Labor budgets alone produced cumulative deficits of $70 billion.",NA,"305",NA
"So the last time they had a go at getting a budget in surplus, they had five goes at it and they were in deficit each time and the total deficit was $70 billion.",NA,"305",NA
"And they talk about taking pressure off interest rates in government.",NA,"305",NA
"Just remember what they did when they last had a go.",NA,"305",NA
"Over the last eight and a half years we have embraced many reforms.",NA,"401",NA
"We have reformed our industrial relations system.",NA,"401",NA
"In 1998 after years of hesitation we finally had a Government with the courage to take on the Maritime Union of Australia.",NA,"305",NA
"We broke the back of union power on the waterfront",NA,"702",NA
"and the result has been higher productivity,",NA,"410",NA
"and the produce of Australia’s hard-working farmers no longer rots on the wharves of Australia.",NA,"703",NA
"We have reformed the taxation system.",NA,"303",NA
"We have reformed the welfare system.",NA,"505",NA
"When we brought in Work for the Dole, the Labor Party attacked it as a mickey mouse solution.",NA,"505",NA
"They now quietly claim that they are going to keep it.",NA,"505",NA
"These reforms, most of which were tenaciously opposed by the Labor Party from the very beginning.",NA,"305",NA
"Not only did they leave us with a huge deficit, they tried to stop us fixing it up.",NA,"305",NA
"But now, of course, they’re very happy to help themselves to surpluses that they could never generate in Government.",NA,"305",NA
"Our reforms and our efforts have yielded great results.",NA,"305",NA
"Our interest rates are the lowest in 30 years.",NA,"408",NA
"Our taxes are lower.",NA,"414",NA
"Unemployment is lower.",NA,"408",NA
"Our wages are higher.",NA,"701",NA
"I have no prouder claim as Prime Minister than to say that over the last eight and a half years real wages in this country have risen by between 13 to 14 per cent",NA,"701",NA
"against a miserable 2.6 per cent in the 13 years of Labor Government.",NA,"305",NA
"The Coalition has been a better friend of the workers of Australia than Labor could ever dream of being.",NA,"701",NA
"In 1996 there were 35 federal electorates in Australia that had double digit unemployment or worse, now there are only four.",NA,"701",NA
"These are the great human dividends of good economic policy.",NA,"701",NA
"Running the economy well only has a purpose if it delivers a human dividend, if it delivers things for the Australian people.",NA,"701",NA
"That has been our goal and that has been the outcome of our economic policies.",NA,"701",NA
"Australia stands proud and tall around the world.",NA,"601",NA
"We are respected for what we have achieved with our economy.",NA,"601",NA
"We are seen as a nation prepared to take a stand on difficult international issues.",NA,"601",NA
"We are a true and trusted and reliable friend.",NA,"601",NA
"When I became Prime Minister in 1996, I along with the other 20 million of my fellow Australians could not have imagined what lay ahead on the international scene.",NA,"104",NA
"We were not to know that the world would change forever on the 11th of September 2001",NA,"104",NA
"We could not foresee the terrible attack in Bali in 2002.",NA,"104",NA
"We did not know that we would be called upon and proudly able to do, to liberate the people of East Timor, and in many ways fulfil a debt that this nation, particularly the generation of World War II, owed to the wonderful people of Timor.",NA,"103",NA
"Terrorism has cast a dark cloud over the world, but it is a challenge that must be repulsed, and a challenge best repulsed by us being determined to live the lives of a free and democratic society.",NA,"201",NA
"It will be a long fight and a difficult fight, and we must do it in cooperation with our friends all around the world, and most particularly here in our region.",NA,"104",NA
"But whether popular or not, I will never hesitate to do what is right and necessary, whatever is right and necessary, to protect Australia and the Australian people against the threat of terrorism.",NA,"104",NA
"Our defence alliance with the United States is the cornerstone of our national security.",NA,"104",NA
"I support the American alliance because it is in Australia's national interest to do so.",NA,"104",NA
"We could never forget our history and we should understand the power realities of today.",NA,"104",NA
"But we have demonstrated, despite what our critics predicted, that we have been able to build ever-closer ties with the United States",NA,"104",NA
"and also grow closer to the nations of our region.",NA,"107",NA
"Only a Coalition Prime Minister could have been host to President Bush and President Hu Jintao on successive days as they addressed joint sittings of our National Parliament.",NA,"305",NA
"The growth of our trade relationship with China has been one of the great successes of the last eight and a half years,",NA,"410",NA
"and we have continued to build and strengthen our relations with other countries in the region such as the traditional markets of Japan and Korea.",NA,"107",NA
"It is never necessary in foreign or trade policy to choose between your history and your geography.",NA,"107",NA
"We can remain faithful to our traditional allies and allegiances",NA,"104",NA
"while building and strengthening our partnerships in the region.",NA,"107",NA
"Foreign policy often carries difficult decisions, and no decision that I've had to make in this area over the last eight and a half years was more difficult than our decision to join the Coalition in Iraq.",NA,"104",NA
"That decision was the right decision.",NA,"104",NA
"If I had my time again, I would take the same decision.",NA,"104",NA
"The world is a better place, the Middle East is a better place, without Saddam Hussein.",NA,"104",NA
"Australian forces will stay in Iraq until they finish their job.",NA,"104",NA
"We will not cut and run before Christmas or any other arbitrary date.",NA,"104",NA
"My friends, we all prize the financial security of our families.",NA,"603",NA
"Let me say this, and it's not just my view, but it's a view frequently expressed to me as I move around this country talking to Australian families.",NA,"603",NA
"Nothing threatens that security more directly than the prospect of rising interest rates.",NA,"408",NA
"Rising interest rates dominates everything else when it comes to family security.",NA,"408",NA
"Just a tiny upward movement in interest rates more than devours a few dollars of taxation relief or additional family benefits.",NA,"408",NA
"There is no economic credential for office more crucial than a capacity to keep interest rates low.",NA,"305",NA
"I claim very directly that interest rates under a Labor Government would always be higher than under a Coalition Government, and that claim is based on two things.",NA,"305",NA
"It's based on the historical record of what happened when they were last in government.",NA,"305",NA
"Nobody will ever forget the 17 per cent housing interest rates, the 20.5 per cent small business interest rates, the 22 or 23 per cent Bill rates that many farmers had to pay.",NA,"305",NA
"Nobody will forget that.",NA,"305",NA
"If the interest rates that obtained in 1996 had continued, the average borrower in Australia would now be paying $500 a month more on their housing loan.",NA,"305",NA
