"text","text_en","cmp_code","eu_code"
"Policy Principles",NA,"H",NA
"For us, policies are all about principles that guide our actions.",NA,"202.3",NA
"These principles are set out to inform Australians of our legislative views.",NA,"202.3",NA
"Items shown under 'Examples of what needs to be done' are indicative only and parliamentary members and candidates are encouraged to propose and debate the most workable solutions and options possible.",NA,"202.3",NA
"Aboriginal and Torres Strait Islanders",NA,"H",NA
"We recognise Aboriginal and Torres Strait Islander peoples - the first Australians - as the traditional owners of this continent and acknowledge and respect their ongoing relationship with the land.",NA,"607.3",NA
"Examples of what needs to be done: Aboriginal and Torres Strait Islander peoples and organisations must be consulted and engaged with the process of developing Indigenous Affairs policy",NA,"607.3",NA
"Constitutional recognition to reflect the unique role Aboriginal and Torres Strait Islanders have in Australia’s past, present and future",NA,"607.3",NA
"Provide ongoing funding for “Closing the Gap” between Aboriginal and Torres Strait Islander people and non-indigenous Australians",NA,"607.3",NA
"In consultation with individual communities, develop micro policies and programs to better meet the diverse needs of Aboriginal and Torres Strait Islander peoples",NA,"607.3",NA
"Ageing Population",NA,"H",NA
"Australia is a prosperous country built on the contribution of older Australians.",NA,"706",NA
"Our ageing population deserves to be treated with respect and dignity and assisted where needed by government and the wider community.",NA,"706",NA
"Examples of what needs to be done: Workforce participation",NA,"H",NA
"NXT does not support an increase in the pension age, but we do believe older Australians should be both encouraged and supported to be involved in the paid or community service workforce.",NA,"701",NA
"For those who receive a pension, income tests should be relaxed further so that they can supplement their income without penalty.",NA,"504",NA
"Community service volunteers should be automatically covered by a government funded insurance scheme.",NA,"606.1",NA
"Cost-of Living",NA,"H",NA
"Utility cost increases should be pegged to be no greater than the CPI.",NA,"403",NA
"Any increases above the CPI should be rebated to those on a government pension, or self-funded retirees who have reached the eligible pension age.",NA,"504",NA
"Housing/Retirement/Aged Care",NA,"H",NA
"Government policy should encourage and deliver where possible affordable, comfortable and well-maintained retirement and aged care accommodation.",NA,"504",NA
"Developers and providers of retirement accommodation must meet all existing government requirements, as well as be required to provide transition accommodation options for residents who may require low or high care facilities in the future.",NA,"403",NA
"These transition options should be on, or adjacent to, the existing retirement estate.",NA,"403",NA
"Agriculture",NA,"H",NA
"Agriculture is a vital part, not just of the fabric of rural and regional Australia, but of the entire nation.",NA,"703.1",NA
"With agriculture contributing $53.6 billion to the nation’s economy, and employing 314,000 Australians across the agriculture, forestry and fishing sector (with huge multiplier effects), it is essential that it is encouraged to grow.",NA,"703.1",NA
"The $1billion dollars of farmer and government contributions to agricultural research and development (R&D) organisations needs to be effectively targeted to help improve the profitability of Australian agriculture through enhancing the skills and decision making of farmers.",NA,"703.1",NA
"Examples of what needs to be done: Support the lifting of the small business tax threshold from $2m to $10m to encourage agricultural businesses to grow as agricultural output expands from individual businesses.",NA,"703.1",NA
"Having strong competition laws that that can effectively deal with and penalise predatory abuse of market power from companies in the agricultural to retail supply chain.",NA,"403",NA
"This needs to include a stronger ‘effects’ test than the government is currently proposing, divestiture powers to break up companies for gross abuse of market power, and quicker and more affordable access to justice.",NA,"403",NA
