"text","text_en","cmp_code","eu_code"
"THE NATIONALS for Regional Australia POLICY DOCUMENT. 2019 campaign",NA,"H",NA
"OUR PLAN FOR POPULATION, MIGRATION AND BETTER CITIES",NA,"H",NA
"Our Plan for Youth Mental Health and Suicide Prevention",NA,"H",NA
"Key Points",NA,"H",NA
"The tragedy of suicide touches far too many Australian families.",NA,"504",NA
"Suicide is the leading cause of death of our young people – accounting for one-third of deaths of Australians aged 15-24.",NA,"503",NA
"The tragic impacts are even higher in Indigenous communities.",NA,"607.3",NA
"The Morrison Government is leading a change in the way Australians and Australian governments think about suicide prevention.",NA,"504",NA
"Recognising that social, financial, legal, family, health and mental health factors may all play their part, we are elevating suicide prevention to a national, whole-of-government priority.",NA,"504",NA
"Our $503.1 million Youth Mental Health and Suicide Prevention Plan is the largest suicide prevention strategy in Australia’s history.",NA,"503",NA
"It will ensure that government activities are coordinated, services are delivered to young Australians at risk and support is available for friends and families.",NA,"503",NA
"Our Plan focuses on: Strengthening the headspace network,",NA,"503",NA
"Indigenous suicide prevention,",NA,"503",NA
"Early childhood and parenting support.",NA,"504",NA
"We will ensure young Australians and their families get help where and when they need it by investing an additional $375 million to expand and improve the headspace network.",NA,"503",NA
"headspace provides youth-friendly services for the challenges facing young Australians: across physical health, alcohol and other drug use, vocational support and mental health.",NA,"503",NA
"To strengthen Indigenous youth suicide prevention, we will invest $34.1 million, including support for Indigenous leadership that delivers culturally appropriate, trauma-informed care as well as services that recognise the value of community, cultural artistic traditions and protective social factors.",NA,"607.3",NA
"Our support includes $19.6 million for measures to prevent Indigenous youth suicide, particulary in the Kimberley.",NA,"607.3",NA
"To support Australian parents and their children we will invest $11.8 million in a range of initiatives to help parents recognise when their children are struggling, improve mental health skills training in schools, enhance peer support networks and boost counselling support services for young people.",NA,"503",NA
"We are investing $15 million to create a new national information system.",NA,"504",NA
"This will ensure communities and services can respond quickly to particular areas affected by a high incidence of suicide and self-harm.",NA,"504",NA
"For Australians living in rural and regional areas we are establishing more than 20 new headspace sites in these areas and we are providing new mental health telehealth services funded through the MBS.",NA,"504",NA
"Our plan also includes mental health and wellbeing projects, funded through our $1.25 billion Community Health and Hospitals Program to provide vital frontline local mental health services.",NA,"504",NA
"We are also delivering $22.5 million in specific youth",NA,"503",NA
"and Indigenous health research projects as part of our $125 million ‘Million Minds Mission’ into mental health research.",NA,"503",NA
"These investments can only be made because of a strong economy.",NA,"601.1",NA
"Our Record",NA,"H",NA
"Health care is a priority for every Australian.",NA,"504",NA
"That’s why we have a Long-Term National Health Plan based on four key pillars: Medicare and medicines, hospitals, mental health and medical research.",NA,"504",NA
"Our Government was the first to designate mental health as one of the four key pillars of the health care system.",NA,"504",NA
"Our Youth Mental Health and Suicide Prevention package builds on the record $4.8 billion that we are spending on mental health this financial year alone – more than half a million dollars every hour of every day.",NA,"504",NA
"One in five Australians experience a common mental disorder each year and almost half of us will face some form of mental health problem during our lives.",NA,"504",NA
"In prioritising mental health, we’re transforming the health landscape with a determination to keep Australians safe and well.",NA,"504",NA
"But it’s a major challenge, demanding a huge level of resources that can only come from good economic management.",NA,"403",NA
"The Morrison Government has delivered $1.45 billion to our Primary Health Networks to enable them to deliver ongoing and community-tailored mental health services to Australian families.",NA,"504",NA
"This investment will boost crucial services such as headspace, local psychological services, suicide prevention activities and community mental health nursing.",NA,"504",NA
"We have also shone a light for the first time on eating disorders, which affect almost one million Australians and have the highest mortality rate of any psychiatric illness.",NA,"504",NA
"We have invested $110 million to provide Medicare rebates for the treatment of eating disorders, have funded ED Hope helpline and are establishing residential eating disorder centres across the country.",NA,"504",NA
"In 2018, we announced new support including $96 million additional funding for headspace, $96.8 million for the Mental Health in Education Initiative, $106 million for suicide prevention programs, $102.5 million for mental health services for older Australians, and $20.4 million to support the mental health of rural communities through the Royal Flying Doctor Service.",NA,"504",NA
"This demonstrates our commitment to early intervention irrespective of health, age or location.",NA,"503",NA
"We have established the Million Minds Mission: providing $125 million through the Medical Research Future Fund for mental health research.",NA,"504",NA
"The aim is to reach one million people and ensure that our health system continues to provide the best, most up-to-date treatments and interventions.",NA,"504",NA
"Our Government has also delivered enhanced suicide prevention services.",NA,"504",NA
"We provided an extra $33.8 million to increase the responsiveness of Lifeline’s telephone crisis support service.",NA,"504",NA
"Lifeline provides crisis support services to all Australians, including those impacted by natural disasters.",NA,"504",NA
"We have invested $37.6 million to expand the Beyond Blue Way Back Support Service aftercare model across Australia to support an estimated 28,000 people over four years.",NA,"504",NA
"This service supports Australians during the three months after they have attempted suicide and have been discharged from hospital.",NA,"504",NA
"Under the National Suicide Prevention Leadership Support Program, the Morrison Government provided $36 million for a range of projects designed to reduce suicide among at-risk groups and to reduce suicidal behaviour.",NA,"504",NA
"This supported organisations such as R U OK?, Mates in Construction and Suicide Prevention Australia.",NA,"504",NA
"We are committed to finding better ways to prevent suicide, establishing the National Suicide Prevention Trials in 12 nationwide locations at a cost of $55 million.",NA,"504",NA
"We have also created the National Suicide Prevention Research Fund – a $12 million fund supporting and disseminating research on suicide prevention.",NA,"504",NA
"The Morrison Government’s Long-Term Health Plan is delivering a world-class health system providing patients with access to quality medical care, record hospital funding, affordable life-saving medicines and breakthrough research.",NA,"504",NA
"By keeping our economy strong, Medicare and the Pharmaceutical Benefits Scheme are guaranteed.",NA,"403",NA
"And we can afford to make major investments like our Youth Mental Health and Suicide Prevention Plan.",NA,"403",NA
"Our Plan",NA,"H",NA
"headspace",NA,"H",NA
"The Morrison Government will enable more young Australians and their families get help where and when they need it with an unprecedented $375 million investment in headspace.",NA,"503",NA
"headspace provides youth-friendly services for the challenges facing young Australians.",NA,"503",NA
"This includes physical health, alcohol and other drug use, vocational support and mental health services.",NA,"503",NA
"We will expand the headspace network by 30 – from the current 115 services to 145 by 2021, at a cost of $111 million.",NA,"504",NA
"This will help more young Australians, their families and friends easily access support in their local communities.",NA,"503",NA
"More than 20 new sites will be in rural and regional Australia to ensure equitable access for younger Australians living outside our major cities.",NA,"503",NA
"These services are complemented by new mental health telehealth services in rural and regional Australia available through Medicare.",NA,"504",NA
"We are also investing an extra $152 million in existing services to reduce wait times, improve the quality of care and assure young Australians that help is available when they need it most.",NA,"503",NA
