"text","text_en","cmp_code","eu_code"
"Australian Greens",NA,NA,NA
"Policy Snapshots",NA,NA,NA
"www.greens.org.au",NA,NA,NA
"Welcome to this snapshot of the policies of the Australian Greens. Here you will find highlights from our broad-ranging policies. To see our policies in full, visit www.greens.org.au",NA,NA,NA
"Health 3",NA,NA,NA
"Forests 4",NA,NA,NA
"Biodiversity 5",NA,NA,NA
"Water, Rivers and Wetlands 5",NA,NA,NA
"Education – Investing in the Future 6",NA,NA,NA
"Higher Education 7",NA,NA,NA
"National Security 8",NA,NA,NA
"Peace, Security and Iraq 9",NA,NA,NA
"Economics for People and the Earth 10",NA,NA,NA
"A Fair Tax System 10",NA,NA,NA
"A Sustainable World Economy 11",NA,NA,NA
"Climate Change and Energy 12",NA,NA,NA
"Genetic Engineering 13",NA,NA,NA
"Sustainable Agriculture",NA,NA,NA
"Nuclear Issues 14",NA,NA,NA
"Transport 15",NA,NA,NA
"Work & Industrial Relations 16",NA,NA,NA
"Social Welfare 17",NA,NA,NA
"Indigenous Australians 18",NA,NA,NA
"Welcome to Refugees 19",NA,NA,NA
"Democracy 20",NA,NA,NA
"Women’s Rights 21",NA,NA,NA
"Sexuality and Gender Identity 21",NA,NA,NA
"Young People 22",NA,NA,NA
"Animal Welfare 23",NA,NA,NA
"Arts and Cultural Activities 23",NA,NA,NA
"Cover images:",NA,NA,NA
"Tarkine Forest, Tasmania",NA,NA,NA
"The cover picture is a Myrtle tree in coupe FY055C in the Tarkine forest, northern Tasmania. It is scheduled for logging.",NA,NA,NA
"Health",NA,NA,NA
"The Greens believe that everyone has a right to timely, high-quality health care, regardless of their income.",NA,"503",NA
"The fairest and most efficient way to achieve this is through the public health system.",NA,"504",NA
"We strongly support Medicare, and propose an increase in the Medicare levy to cover essential services that are not presently covered.",NA,"504",NA
"These services include dentistry, physiotherapy, certain areas of mental health, and alternative and complementary therapies that have been proven to be effective.",NA,"504",NA
"The Greens will abolish the $2.5 billion per annum Private Health Insurance Rebate.",NA,"504",NA
"The money saved will be redirected to where it is most needed – public health (including preventative healthcare and hospitals)",NA,"504",NA
"Our approach to health care is holistic.",NA,"504",NA
"This means focusing on eradicating the causes of ill health, such as poverty, inadequate housing, over-work or lack of work, and air and water pollution.",NA,"504",NA
"The link between poverty and disease and premature death is well established.",NA,"504",NA
"The most obvious example in Australia is the appalling health of Indigenous peoples.",NA,"705",NA
"Redressing this is a priority for the Greens.",NA,"504",NA
"Forests",NA,NA,NA
"The Australian Greens are committed to protecting our old growth and high conservation value forests.",NA,"501",NA
"We need to establish a comprehensive reserve system that represents all forest types – from rainforests and tall wet forests to dry forests and woodlands.",NA,"501",NA
"These forests play an important role in water, soil and biodiversity conservation.",NA,"501",NA
"We would immediately end the export of woodchips from native forests.",NA,"501",NA
"Our plan for the timber industry moves wood production away from native forests into plantations (which already supply over 75% of our wood needs) on cleared land.",NA,"416",NA
"It promotes paper recycling",NA,"501",NA
"and incorporates retraining and other assistance to workers.",NA,"701",NA
"Tasmania’s internationally renowned forests are being destroyed at the greatest rate in history.",NA,"501",NA
"Tasmania exports more than twice as many woodchips as all the other states combined.",NA,"501",NA
"The old growth and high conservation value forests of Tasmania – the Styx, Tarkine, Blue Tier and Western Tiers – must be protected.",NA,"501",NA
"Across Australia, the Greens are working to protect forests and wildlife threatened by logging and woodchipping.",NA,"501",NA
"These areas include Victoria’s Otways, Central Highlands and East Gippsland, Western Australia’s southwest and areas across NSW.",NA,"501",NA
"The Greens would also safeguard the savannahs and tropical forests of the north and arid woodlands that span Australia’s heart.",NA,"501",NA
"Biodiversity",NA,NA,NA
"The Greens will work for an immediate end to broadscale landclearing, which destroys the habitat of native species and causes major land degradation problems such as salinity.",NA,"501",NA
"We seek a halt to illegal landclearing and the closure of loopholes that allow ongoing clearing of remnant vegetation.",NA,"501",NA
"We support the creation by 2012 of a national system of Marine Protected Areas representing all marine ecosystems.",NA,"501",NA
"At least 30% of each Protected Area should be ‘no take’ (fishing prohibited).",NA,"501",NA
"Quarantine measures need strengthening to prevent the introduction of exotic plants, animals and diseases which increasingly threaten Australia’s native species and ecosystems.",NA,"501",NA
"Water, Rivers and Wetlands",NA,NA,NA
"Australians are the world’s highest per capita users of water.",NA,"416",NA
"Most of this water is used for irrigation (75%); urban and industrial use accounts for 20%.",NA,"416",NA
"Between 1985 and 1997 total water use increased by 65% and it is increasingly evident from stressed and degraded rivers, floodplains and wetlands that we are using water well beyond sustainable levels.",NA,"416",NA
"The Greens aim to protect our remaining natural rivers,",NA,"501",NA
"to restore freshwater ecosystems to health by giving them enough water at the right times,",NA,"501",NA
"to share extracted water fairly",NA,"503",NA
"and to use it more efficiently.",NA,"410",NA
"As a priority we want governments to commit to providing a minimum additional 1500 GL per annum for environmental flows to the Murray River.",NA,"501",NA
"We will campaign to keep all major water resources and infrastructure in public ownership.",NA,"413",NA
"Education – Investing in the Future",NA,NA,NA
"The Greens believe that a strong public education system is the key to creating a fair, successful and cohesive society,",NA,"506",NA
"and that everyone has the right to free, high-quality public education and training.",NA,"503",NA
"To achieve this, we would massively increase funding for all levels of public education.",NA,"506",NA
"Early Childhood",NA,NA,NA
"The Greens are committed to providing free, public early childhood education and childcare places for all Australian children in the year preceding compulsory schooling.",NA,"506",NA
"We believe that delivery of early childhood services should be better regulated, with minimum standards of care and education",NA,"506",NA
"and greatly improved pay and conditions for early childhood professionals.",NA,"704",NA
"Schools",NA,NA,NA
"The Greens want to stop the growth in public funding of private schools",NA,"507",NA
"and increase funding for public education.",NA,"506",NA
"Specifically, we wish to improve pay and professional development opportunities for teachers and reduce class sizes.",NA,"506",NA
"We believe that public money used to fund the wealthiest elite private schools should be redirected to a national program to support disadvantaged public schools",NA,"503",NA
"The Greens want a public inquiry, to work out a fair replacement for the Australian Government’s inequitable private school funding formulae,",NA,"503",NA
"and ensure that non-government schools receive public funding only if they meet standards for transparency, accountability and educational standards.",NA,"506",NA
"TAFE",NA,NA,NA
"The Greens are working to significantly increase Commonwealth funding of TAFE, to restore the breadth and duration of courses, and to provide better conditions for teachers and students.",NA,"411",NA
"Higher Education",NA,NA,NA
"High quality, comprehensive, public education should be free to students at all levels, including university.",NA,"506",NA
"The Greens believe that higher education funding is an investment in the future and not a cost.",NA,"506",NA
"Every government dollar invested in higher education brings a return of more than $2 to Australian society.",NA,"506",NA
"The Greens are committed to:",NA,NA,NA
"• Abolishing university fees and the HECS system.",NA,"506",NA
"Abolition of HECS would only cost around $2 billion each year - less than the total value of the $4 a week tax cut delivered in the 2003 budget.",NA,"506",NA
"• Significantly increasing university funding to maintain the quality of teaching and independence of research, to reduce class sizes, to increase the total number of students, and to eliminate reliance on corporations for sponsorship",NA,"506",NA
"• Improving student income support",NA,"506",NA
"• Preserving compulsory student association fees to keep university life affordable and supportive for all students",NA,"701",NA
"• The freedom for staff to organise collectively, to pursue research that is in the public interest and to be represented by their union",NA,"701",NA
"National Security",NA,NA,NA
"The war on terrorism isn’t working.",NA,"105",NA
"Following George Bush’s foreign policy has made us less safe.",NA,"105",NA
"We are contributing to the growing anger towards the West across the Middle East and the Islamic world.",NA,"105",NA
"Only by addressing the causes of terrorism, not the symptoms, can we hope to live in a safer world.",NA,"107",NA
"The first step is developing fair and just international relations with other peoples and governments around the world.",NA,"107",NA
"By working for peace through justice we can create genuine security for Australia.",NA,"106",NA
"The Greens are committed to:",NA,NA,NA
"• An independent foreign and defence policy",NA,"109",NA
"that opposes pre-emptive strikes",NA,"105",NA
"• An aid program targeted towards the elimination of poverty as the primary objective",NA,"107",NA
"• Rejection of international trade agreements that undermine poor countries",NA,"506",NA
"• Ending nuclear warship visits,",NA,"105",NA
"removing bases which might contribute to nuclear war,",NA,"105",NA
"and dropping support for the dangerous national missile defence which threatens a new arms race",NA,"105",NA
"• Democratisation and strengthening of the United Nations",NA,"107",NA
"We cannot defend freedom at home by removing those freedoms – denying civil rights only diminishes our democracy.",NA,"201",NA
"The Greens are also committed to:",NA,NA,NA
"• Repealing new ASIO powers and other laws that diminish civil rights",NA,"201",NA
"• Reasonable measures such as increased airport security and the use of the criminal law to prosecute terrorist crimes",NA,"605",NA
"Peace and Iraq",NA,NA,NA
"The end of the Cold War has not brought peace.",NA,"106",NA
"The pursuit of military and economic dominance by the United States at the expense of international law and human rights is destabilising the world.",NA,"103",NA
"We need a new relationship with the United States, including one that ends Australia’s role as Deputy Sheriff in the Asia-Pacific.",NA,"105",NA
"The illegal invasion and occupation of Iraq is proving a failure and a disaster.",NA,"105",NA
"Military occupation is the problem, not the solution.",NA,"105",NA
"The Greens believe Australian troops must be brought home now",NA,"105",NA
"and Iraqis allowed their self-determination.",NA,"103",NA
"Instead, Australia should commit funds for a genuine reconstruction of Iraq,",NA,"107",NA
"under the control of a democratically elected Iraqi government.",NA,"202",NA
"The Greens would:",NA,NA,NA
"• Immediately withdraw Australian troops from Iraq",NA,"105",NA
"and provide significant aid for Iraqi national reconstruction",NA,"107",NA
"• Cancel arms contracts that further entrench the Australian defence forces within the US alliance, such as new tanks, expensive fighter aircraft and new warships",NA,"105",NA
"• Support a real peace process for Israel and Palestine as a prerequisite for peace across the Middle East",NA,"106",NA
"• Require parliamentary approval before any overseas military deployment",NA,"202",NA
"• Reduce the levels of defence spending",NA,"105",NA
"while maintaining an adequate defence force",NA,"104",NA
"Economics for People and the Earth",NA,NA,NA
"Australia needs a new style of economic management, where people and the environment matter.",NA,"503",NA
"Currently, more than two million Australians live in poverty — a national disgrace.",NA,"503",NA
"To restore government control of the economy, we will halt wholesale privatisations and keep essential services in public ownership. The Greens will also:",NA,"413",NA
"• Use government bonds to finance public infrastructure",NA,"411",NA
"• Increase the regulation of banks, insurance companies and auditing",NA,"403",NA
"• Stop companies gaining monopoly control of markets",NA,"403",NA
"• Ensure companies fulfil their obligations to their workers by introducing a compulsory government-run employer levy that will guarantee workers’ entitlements",NA,"701",NA
"A Sustainable World Economy",NA,NA,NA
"The global economy is increasingly volatile, with currencies fluctuating wildly, many countries suffering from crippling foreign debts and nearly half the world’s population living on less than $US2 per day.",NA,"107",NA
"The Greens support:",NA,NA,NA
"• Fair trade not free trade – we reject the Free Trade Agreement with the USA",NA,"406",NA
"• Radical reform of the World Trade Organisation, World Bank and International Monetary Fund to make them more socially and environmentally responsible",NA,"107",NA
"– and their abolition if this can’t be achieved",NA,"109",NA
"• Cancelling all Third World debt",NA,"107",NA
"• Introducing a Tobin tax on currency transactions",NA,"107",NA
"A Fair Tax System",NA,NA,NA
"Australia’s tax system is increasing the gap between the haves and have-nots.",NA,"503",NA
"The Greens want to see the system made fairer",NA,"503",NA
"and used to provide excellent public services in health, education and other areas.",NA,"504",NA
"We also wish to protect the environment, by taxing waste and pollution.",NA,"501",NA
"The Greens will restructure the tax system to:",NA,NA,NA
"• Ensure that high-income earners pay their fair share",NA,"503",NA
"• Bias income tax rates to provide relief to low income earners",NA,"503",NA
"• End the tax rorts that apply to investments in Australia",NA,"503",NA
"• Reintroduce inheritance taxes on estates (excluding charitable bequests and inherited farms) worth over $2 million",NA,"503",NA
"To ensure that companies pay their fair share of tax, we will increase company tax rates to 33%",NA,"503",NA
"and limit the tax deductibility of executive payouts.",NA,"503",NA
"The Greens is the only major party that has consistently opposed the GST.",NA,"503",NA
"We will phase it out and replace it with fair taxes.",NA,"503",NA
"The Greens will hold a Royal Commission into the distribution of wealth in our country,",NA,"503",NA
"and will introduce a genuine progress indicator (incorporating social and environmental sustainability) into Australia’s national account statistics.",NA,"303",NA
"Climate Change and Energy",NA,NA,NA
"Climate change is upon us.",NA,"416",NA
"Nine of the ten hottest years on record have been since 1990, and the Earth is expected to warm by a further 1-5°C this century.",NA,"416",NA
"The consequences of climate change will include rising sea levels and more extreme storms, floods and droughts.",NA,"416",NA
"In Australia, burning coal for electricity is the biggest single source of greenhouse gas pollution.",NA,"416",NA
"By conserving energy and switching to renewable energy, we will create jobs and radically reduce Australia’s contribution to global warming.",NA,"416",NA
"We should ratify the Kyoto Protocol immediately",NA,"107",NA
