"text","text_en","cmp_code","eu_code"
"A FUTURE FOR ALL OF USTHE GREEN’S POLICY PLATFORM, ELECTION 2019",NA,"H",NA
"RIGHT NOW, MORE THAN EVER, POLITICS NEEDS A SHAKE-UPPeople are fed up with politics. Can you blame them? The gap between the rich and the poor grows wider, and both the Liberal and Labor governments have repeatedly failed to address it.  We’re staring down climate change, the biggest threat humanity has ever faced, and the major parties are pretending it doesn’t exist. The truth is, with so many vested interests, neither of the old parties are able to represent the values of our diverse and progessive community. Australia is crying out for real leadership. I couldn’t be more proud of our record in leading the way on some of Australia’s biggest national issues -we introduced marriage equality to Parliament, and pressured the government into establishing the banking Royal Commission. We’ve led the campaign to evacuate of sick refugees from off-shore detention, and helped patients access medicinal cannabis. We’ve given people a genuine alternative to the two old parties. We’ve shown the leadership that’s been missing from the Liberal and Labor parties. We know that Australians want a positive plan to tackle the big challenges we’re facing as a community. One that looks after everyone - not just those who can buy influence. They want to know there’s bold political vision with policies based in science, to fight for a fairer, more equal community, for world-class public education, health and social services. That’s what this is: our plan to create a better future for all of us. Richard Di Natale",NA,NA,NA
"POWERED BY YOU",NA,"H",NA
"The Greens are proud to be powered by people, not big corporations.",NA,"403",NA
"Our big wins, on the streets and in Parliament, have been led by our amazing volunteers around the country.",NA,"606.1",NA
"If we’ve learnt one thing, it’s that progress happens when people come together.",NA,"606.1",NA
"But for us to succeed at the next election, we’re going to need everyone to get involved.",NA,"606.1",NA
"We need people like you to help us.",NA,"606.1",NA
"Working together, we can create a future where everyone",NA,"606.1",NA
"is treated equally,",NA,"503",NA
"we protect our environment,",NA,"501",NA
"take real action on climate change",NA,"501",NA
"and we all have access to the services we need to live a good life.",NA,"504",NA
"Volunteering is fun and it’s easy. Are you ready to build a future for all of us?",NA,"606.1",NA
"Sign up now at greens.org.au/volunteer",NA,NA,NA
"CONTENTSTHE CASE FOR CHANGE9A FUTURE FOR ALL OF US11RENEWABLE ENERGY AND CLIMATE CHANGE13CLEAN UP POLITICS19WORLD CLASS PUBLIC EDUCATION, HEALTH AND SOCIAL SERVICES27PUBLIC OWNERSHIP, NOT PRIVATISATION35PROTECTING OUR ENVIRONMENT41A HOME FOR ALL49JOBS AND TRAINING FOR THE FUTURE55A FAIRER, MORE EQUAL COMMUNITY63PAYING FOR OUR PLANS77",NA,NA,NA
"THE CASE FOR CHANGE",NA,"H",NA
"Over the last decade, selfish and power-hungry Labor and Liberal governments have knocked off four sitting Prime Ministers and have been more committed to fighting each other than planning for our future.",NA,"305.1",NA
"They’ve taken over $100 million from big corporations since 2012 - including big polluters, mining giants and the big banks -",NA,"304",NA
"and in the process, created an economy that works for their rich mates and donors, instead of doing what’s best for all of us.",NA,"304",NA
"Big donations mean big influence.",NA,"304",NA
"They mean inaction on the mining, burning and exporting of coal - the biggest contributor to climate change -",NA,"501",NA
"and a failure to keep public services working for everyone.",NA,"303",NA
"They mean less money for our schools and hospitals,",NA,"504",NA
"increased cost of living",NA,"504",NA
"and rising inequality.",NA,"503",NA
"We need to shake up politics because time is running out to avoid climate disaster",NA,"501",NA
"and the major parties don’t have a plan to deal with coal.",NA,"501",NA
"And if you don’t have a plan to end coal, oil and gas, you don’t have a plan to take action on climate change.",NA,"501",NA
"A FUTURE FOR ALL OF US",NA,"H",NA
"Politics should give you something to believe in.",NA,"202.1",NA
"That’s why the Greens have bold plans to build a future for all of us, not just the wealthy few.",NA,"503",NA
