"text","text_en","cmp_code","eu_code"
"Cutting Red Tape: Reducing the Burden of GST",NA,NA,NA
"Policy Summary",NA,NA,NA
"The Rudd Labor Government will cut red tape for small and medium businesses by reducing the paperwork burden of the GST.",NA,"303",NA
"Federal Labor will reduce the number of times that small and medium businesses need to lodge GST returns from four times a year to just once.",NA,"303",NA
"Businesses with a GST turnover under $20 million a year will be allowed to lodge their Business Activity Statement (BAS) once a year from 1 July 2014",NA,"303",NA
"This is a ten-fold increase from the current $2 million turnover threshold for annual lodgement",NA,"303",NA
"These businesses will be able to pay simple instalments based on GST paid in the previous year, and lodge an annual BAS at the end of the financial year to reconcile any difference",NA,"303",NA
"This aligns GST more closely with the Pay As You Go income tax system and means businesses will no longer have to make complex GST calculations throughout the year",NA,"303",NA
"Sports Technology Innovation Partnership",NA,NA,NA
"What are Australian Innovation Partnerships?",NA,"410",NA
"Australian Innovation Partnerships are Federal Labor’s new way of supporting Australian industry – placing industry in the driver’s seat to coordinate Australian effort, grow Australian exports and jobs, and diversify our national economy",NA,"410",NA
"Beyond the China resources boom, we need to build a modern and diverse economy – so that we continue our 22 year record of growth and continue to provide the jobs Australians rely on.",NA,"410",NA
"Only Federal Labor has a plan to ensure a prosperous future.",NA,"410",NA
"In the past, Australia has put too many of our eggs in the one basket.",NA,"410",NA
"We need a new way to diversify the Australian economy – building more strong industries and regions.",NA,"410",NA
"The Innovation Partnerships provide a positive plan to grow jobs, boost productivity and give Australian businesses the competitive edge",NA,"410",NA
"Cutting Red Tape: Superannuation Clearing House",NA,NA,NA
"The Rudd Labor Government will cut red tape for small businesses by extending the free small business superannuation clearing house to businesses with less than 100 employees from 1 July 2014.",NA,"303",NA
"This free service helps small businesses to save on time and paperwork by enabling them to pay their employees' superannuation to a single location in just one simple electronic transaction.",NA,"303",NA
"Why is this change necessary?",NA,"303",NA
"The Rudd Labor Government has outlined a new national competitiveness agenda based on seven key elements, and we have made it a priority for all levels of government to reduce the regulatory impost on business.",NA,"303",NA
"This is a practical measure that will provide real support for small businesses to free them up from regulatory imposts so they can focus on growing their businesses.",NA,"303",NA
"Since its launch in 2010 by the Rudd Labor Government for business with less than 20 employees, the small business clearing house has been a resounding success",NA,"303",NA
"McKeon Research Package",NA,NA,NA
"Investing in health and medical research is vital to improving our health and quality of life.",NA,"411",NA
"A thriving health and medical research sector also generates high tech jobs.",NA,"411",NA
"Federal Labor understands the value of this sector and that is why in May 2011, the Federal Labor Government announced a major independent review of health and medical research in Australia, Better Health Through Research (The McKeon Review)",NA,"411",NA
"The Review’s 21 recommendations lay out a ten year vision for better health and economic prosperity through health and medical research.",NA,"411",NA
"The Review found that Australia has one of the world’s best performing health systems.",NA,"411",NA
"The Review argues that we must embed health and medical research into all aspects of the health system.",NA,"411",NA
"This is because health services conducting research deliver better health outcomes for patients",NA,"411",NA
"As the centrepiece of our initial response to the Review, Federal Labor will establish a Medical Research Innovation Fund (MRIF) to provide capital for early stage development of innovative biotechnology ventures",NA,"411",NA
"Too many good ideas fail to make it past the conceptual stage because of lack of finance.",NA,"411",NA
"The MRIF will bridge this gap by investing $125 million of public funding matched to $125 million of private sector funding.",NA,"411",NA
"Cutting Red Tape: Paid Parental Leave Payments",NA,NA,NA
"The Rudd Labor Government will enable businesses with fewer than 20 employees to streamline administration of our successful Paid Parental Leave (PPL) scheme",NA,"303",NA
"Small businesses will be able to have Centrelink make PPL payments to their employees whilst they are on parental leave",NA,"303",NA
"This will slash red tape and compliance costs for small businesses.",NA,"303",NA
"Those small businesses that wish to stay connected with their staff will still be able to opt-in if that meets their needs.",NA,"303",NA
"Why is this change necessary?",NA,"303",NA
"The Rudd Labor Government has listened to business, and understands that in the current economic environment small businesses need to be able to devote their scarce time on adapting to thrive as our economy transitions away from the China mining boom",NA,"303",NA
"The Rudd Labor Government’s PPL scheme is designed to be simple for employers.",NA,"303",NA
"The recent evaluation of the scheme found that most employers have found their role straightforward and easy",NA,"303",NA
