"text","text_en","cmp_code","eu_code"
"Taking the Pressure off Families",NA,NA,NA
"Mark Latham",NA,NA,NA
"Speech",NA,NA,NA
"Transcript - ALP Campaign Launch, Brisbane - 29th September 2004",NA,NA,NA
"Check Against Delivery",NA,NA,NA
"My message today comes straight from the people of Australia.",NA,"202",NA
"It's a message to the people, drawn from the strength and wisdom of the people.",NA,"202",NA
"From the Australians I've been privileged to meet, across the vast suburbs and regions of our nation, over the past 10 months.",NA,"202",NA
"And the millions of their fellow-Australians they represent.",NA,"202",NA
"Today I want to speak on their behalf.",NA,"202",NA
"I want to talk about opportunity, responsibility and honesty - the key themes of this great campaign for a new Labor Government.",NA,"305",NA
"This message comes from the heart - the big heart of the Australian people themselves.",NA,"202",NA
"It's from the people - and all that I have learned about their concerns, their needs and their aspirations for the future - that I see a real urgency in this campaign.",NA,"202",NA
"The urgent need to change now.",NA,"305",NA
"The urgent need for an Australian Labor Government.",NA,"305",NA
"Unless we change now, it will be too late to save Medicare - too late to increase bulk-billing and improve our public hospital system.",NA,"504",NA
"Unless we change now, it will be too late for the fairness of our education system - too late for needs-based funding in our schools and new opportunities at TAFE and university.",NA,"503",NA
"Unless we change now, it will be too late for the families under financial pressure - too late to solve the family debt crisis and deliver tax relief for all Australian taxpayers.",NA,"603",NA
"Unless we change now, it will be too late for the security and safety of our nation - too late to shift policy and resources to our part of the world, getting it right in Asia in the fight against terror.",NA,"104",NA
"And unless we change now, it will be too late for the basic decency and honesty of government in this country -",NA,"202",NA
"too late to restore truth in government and end the deceit and buck-passing of the Howard years.",NA,"305",NA
"Australia needs these changes.",NA,"601",NA
"And Labor is ready to make them, before it's too late.",NA,"305",NA
"I have listened to the Australian people, and now I have the privilege of speaking for them - in presenting the key elements of Labor's plan for the future.",NA,"202",NA
"Our plan for a stronger, safer and fairer Australia.",NA,"601",NA
"Our plan to grow the Australian economy",NA,"410",NA
"by investing more in skills and education,",NA,"411",NA
"by creating incentive and rewarding hard work,",NA,"402",NA
"by reforming the Trade Practices Act",NA,"403",NA
"and helping small business.",NA,"402",NA
"Our plan to use this prosperity well, to ensure that the hard work and enterprise of the Australian people delivers a social benefit: the world-class health and education services we need for the future of our children.",NA,"504",NA
"Our plan for uniting the Australian people around a sense of common purpose and participation in the whole work and life of the community.",NA,"606",NA
"Our plan for new opportunities for all Australians.",NA,"503",NA
"Our big ambition for this great country of ours.",NA,"601",NA
"And given the size of these tasks - saving Medicare, lifting educational opportunity and securing the nation - Australia needs a Prime Minister fully committed to the long haul.",NA,"305",NA
"We need a Prime Minister who trusts the people, who tells them the truth about the great issues of war and peace.",NA,"202",NA
"And when things go wrong, a Prime Minister who is big enough to take responsibility and not blame others.",NA,"305",NA
"We need a Prime Minister who will take the people into his confidence, not least about his own intentions.",NA,"202",NA
"It's urgent to bring a new energy, a new accountability to Australia's biggest job.",NA,"305",NA
"And that's the difference between Labor and the Liberals.",NA,"305",NA
"We've got a great public plan for the future.",NA,"305",NA
"Mr Howard's got a private plan for retirement.",NA,"305",NA
"I'm ready to lead.",NA,"305",NA
"He's ready to leave.",NA,"305",NA
"I have a simple goal: to give Australia a government as good as the Australian people themselves, to bring new drive and ideas to the leadership of the nation.",NA,"305",NA
"Mr Howard, too, has a simple goal: he wants the electorate to help him beat Bob Hawke in the Guinness Book of Records.",NA,"305",NA
"That's the big difference in this campaign.",NA,"305",NA
"Mr Howard sees it as a lap of honour.",NA,"305",NA
"I see it as an honour to serve, to muster all my passion and commitment for the long-term service of the Australian people.",NA,"305",NA
"I say: if you truly love this country, if you truly respect its people, no one could run to be Prime Minister with anything less than a full commitment to the job.",NA,"305",NA
"I couldn't do it.",NA,"305",NA
"And I don't know how Mr Howard can claim to believe in Australia when he refuses to be honest and open with the Australian people themselves.",NA,"305",NA
"Saving Medicare",NA,NA,NA
"But perhaps we shouldn't be too hard on him.",NA,"504",NA
"There is, of course, one promise Mr Howard has kept in full.",NA,"504",NA
"There's one goal he and his Coalition colleagues have pursued relentlessly for eight years - and that's the destruction of Medicare.",NA,"504",NA
"This has been one of the great ding-dong battles of Australian public life.",NA,"504",NA
"A battle of principle on health policy.",NA,"504",NA
"Labor investing in public health care.",NA,"504",NA
"The Coalition pursuing the privatisation of health - a system based on private insurance and private care.",NA,"504",NA
"Labor investing in one tier of quality health care for all Australians.",NA,"503",NA
"The Coalition preferring a two tier system - private health insurance for the top tier and a second class service for everyone else.",NA,"503",NA
"That's what they believe in.",NA,"503",NA
"Last year Mr Howard was asked about his preferred health policy.",NA,"504",NA
"And he said that he liked the system we had at the beginning of the 1970s.",NA,"504",NA
"None of us should forget what he was talking about.",NA,"504",NA
"That was a time when a large number of Australian families had no health insurance - public or private.",NA,"504",NA
"They had to make that terrible choice in life between food on the table and the health care of their children.",NA,"504",NA
"It's the reason why Labor Governments introduced Medibank and then Medicare - to provide a decent level of public health insurance for all Australians.",NA,"504",NA
"A health system based on the medical needs of the patient, not the size of their bank account.",NA,"503",NA
"John Howard has opposed Medicare ever since.",NA,"504",NA
"When he first led the Liberal Party he said that he wanted to ''take a scalpel to Medicare''.",NA,"504",NA
"Last month his Deputy John Anderson said that country people wanted and needed a two-tier health system.",NA,"504",NA
"Well, that's what this election is all about.",NA,"504",NA
"It's a referendum on the future of Medicare.",NA,"504",NA
"Do we want the Coalition to take us further down the American road of privatised health - a two tier system?",NA,"504",NA
"Do we want to give John Howard another chance to put his scalpel into Medicare?",NA,"504",NA
"Or do we want a Labor Government with a plan to save Medicare?",NA,"504",NA
"Just one tier.",NA,"503",NA
"One world-class health care system for all Australians.",NA,"503",NA
"We set up this system, we're proud of it and we're going to bring it back to its full health.",NA,"504",NA
"Labor believes in Medicare.",NA,"504",NA
"It's good public policy.",NA,"504",NA
"But it also says something special about who we are, about the things that make us uniquely Australian.",NA,"601",NA
"It says that in our country, if you get sick then someone will care for you.",NA,"601",NA
"It says that the Australian people look out for each other.",NA,"601",NA
"That we help our mates and those in need.",NA,"601",NA
"No one gets left behind.",NA,"503",NA
"No one gets left without decent hospital care, without the availability of a bulk-billing doctor.",NA,"503",NA
"That's what makes it Medicare.",NA,"504",NA
"And that's why Labor believes in it.",NA,"504",NA
"It's universal.",NA,"504",NA
"It's for the many, not just the few.",NA,"503",NA
"The Liberals talk about a safety net.",NA,"504",NA
